experiment,conv_depth,filters_base,kernel_size,pooling,non_shared,macro_f1,test_accuracy,param_count
shared_d2_f32_k3_max,2,32,3,max,False,0.7891029230446035,0.7883333563804626,822662
shared_d2_f32_k3_avg,2,32,3,avg,False,0.7713824620523342,0.7689999938011169,822662
shared_d2_f16_k3_max,2,16,3,max,False,0.7644319655569382,0.7639999985694885,406950
shared_d2_f16_k3_avg,2,16,3,avg,False,0.7619663560407347,0.7616666555404663,406950
shared_d2_f16_k5_avg,2,16,5,avg,False,0.7584100605590223,0.7563333511352539,360614
shared_d2_f32_k5_max,2,32,5,max,False,0.7502765882946435,0.7509999871253967,746374
shared_d2_f32_k5_avg,2,32,5,avg,False,0.744972587289701,0.7443333268165588,746374
shared_d2_f16_k5_max,2,16,5,max,False,0.7424850841519298,0.7409999966621399,360614
shared_d1_f32_k5_max,1,32,5,max,False,0.726627171812579,0.7260000109672546,1846086
shared_d1_f32_k3_avg,1,32,3,avg,False,0.7234558255907367,0.7233333587646484,1969478
shared_d1_f32_k3_max,1,32,3,max,False,0.7221692700306453,0.7223333120346069,1969478
shared_d1_f16_k5_avg,1,16,5,avg,False,0.71411847776356,0.7120000123977661,923270
shared_d1_f16_k3_avg,1,16,3,avg,False,0.713799727445385,0.7123333215713501,984966
shared_d1_f16_k3_max,1,16,3,max,False,0.7057356791599698,0.7066666483879089,984966
shared_d1_f32_k5_avg,1,32,5,avg,False,0.6989147141699776,0.6993333101272583,1846086
shared_d1_f16_k5_max,1,16,5,max,False,0.6883304965104099,0.6886666417121887,923270
